cntr_no,carrier_no,pol,scheduled_pol_etd,pol_atd,pod,scheduled_pod_eta,pod_ata,portcast_predicted_pod_eta,container_pod_actual_discharge,last_container_event,vessel_legs,container_pod_scheduled_discharge,diff_forecast_errors,scores,anomaly
HLBU2805267,HLCU,INMUN,2021-05-05 18:30:00+00:00,2021-05-05 21:45:01.190000+00:00,USNYC,2021-05-27 05:00:00+00:00,2021-05-27 14:05:00.000000,2021-06-02 18:36:58.801659,2021-05-27T14:05:00,Unclassified,1.0,,-7.0,-0.24938909192378222,-1
UACU5244732,HLCU,INMUN,2021-05-05 18:30:00+00:00,2021-05-05 21:45:01.190000+00:00,USNYC,2021-05-27 05:00:00+00:00,2021-05-27 00:34:00.000000,2021-06-02 18:36:58.801659,2021-05-27T00:34:00,Unclassified,1.0,,-7.0,-0.24938909192378222,-1
BMOU6606595,HLCU,INMUN,2021-05-05 18:30:00+00:00,2021-05-05 21:45:01.190000+00:00,USNYC,2021-05-27 05:00:00+00:00,2021-05-27 00:40:00.000000,2021-06-02 18:36:58.801659,2021-05-27T00:40:00,Unclassified,1.0,,-7.0,-0.24938909192378222,-1
CAIU9869830,MSCU,MYPKG,2021-04-08 09:00:00+00:00,2021-04-11 15:25:41+00:00,USLGB,,2021-05-21 00:00:00.000000,2021-05-12 00:00:00.000000,2021-05-21T00:00:00,Unload from vessel,1.0,,9.0,-0.2689073774297669,-1
MEDU7623330,MSCU,MYPKG,2021-04-08 09:00:00+00:00,2021-04-11 15:25:41+00:00,USLGB,,2021-05-21 00:00:00.000000,2021-05-12 00:00:00.000000,2021-05-21T00:00:00,Unload from vessel,1.0,,9.0,-0.2689073774297669,-1
TGHU7068859,MSCU,MYPKG,2021-04-08 09:00:00+00:00,2021-04-11 15:25:41+00:00,USLGB,,2021-05-21 00:00:00.000000,2021-05-12 00:00:00.000000,2021-05-21T00:00:00,Unload from vessel,1.0,,9.0,-0.2689073774297669,-1
TRHU4232343,COSU,CNYTN,2021-05-03 16:00:00+00:00,2021-05-06 02:33:24.970000+00:00,USLAX,2021-05-17 08:00:00+00:00,2021-05-19 14:42:00.000000,2021-05-23 13:24:49.564782,2021-05-19T14:42:00,Vessel arrival,1.0,,-4.0,-0.2628285919670843,-1
FCIU3282361,CMDU,CNNGB,2021-04-12 12:24:00+00:00,2021-04-12 12:24:00+00:00,USNYC,2021-05-15 12:00:00+00:00,2021-05-18 10:59:00.000000,2021-05-15 07:00:00.000000,2021-05-18T10:59:00,Container delivered to consignee,1.0,,3.0,-0.2159499294396502,-1
